Frequency,Amplitude
0.0,0.013675989177294953
0.2,0.0955800230885078
0.4,0.07059847344486948
0.6000000000000001,0.023066328123745247
0.8,0.04444875335801431
1.0,0.10106326439473978
1.2000000000000002,0.09816543973625329
1.4000000000000001,0.04905042319002919
1.6,0.11983450778287916
1.8,0.0656282794873888
2.0,2.1298241994598115
2.2,0.04378573845615747
2.4000000000000004,0.10282754841259424
2.6,0.03030921206450297
2.8000000000000003,0.10825400323169632
3.0,0.048815973305360465
3.2,0.07255995740717752
3.4000000000000004,0.08654989352231397
3.6,0.09309812497839792
3.8000000000000003,0.05497850873705584
4.0,0.043208083824361324
4.2,0.09298481226531664
4.4,0.09671227434105503
4.6000000000000005,0.07106723703334523
4.800000000000001,0.08316579825718987
5.0,0.0702945513220988
5.2,0.04483189794010873
5.4,0.08544577322675272
5.6000000000000005,0.06485514114498275
5.800000000000001,0.06117857545818577
6.0,0.08839483128157231
6.2,0.07584194337006589
6.4,0.03870089694786307
6.6000000000000005,0.14161523546188284
6.800000000000001,0.16190364152786393
7.0,1.03259103222536
7.2,0.11327056388752203
7.4,0.11994706090448251
7.6000000000000005,0.11914694873456104
7.800000000000001,0.11457053585225933
8.0,0.056454667676891515
8.200000000000001,0.03749517863479312
8.4,0.10928000262318371
8.6,0.13064949742968301
8.8,0.06276053739281824
9.0,0.0994174896071467
9.200000000000001,0.032648870900915984
9.4,0.06815845258422841
9.600000000000001,0.12199925781893302
9.8,0.046259113785555014
10.0,0.028175410560957105
10.200000000000001,0.022593237748795313
10.4,0.06287191850000402
10.600000000000001,0.09226210256956635
10.8,0.07105518927882573
11.0,0.07189400791795257
11.200000000000001,0.04438888030203568
11.4,0.03631419949802503
11.600000000000001,0.09575908838358611
11.8,0.115099317737664
12.0,0.0856693738706139
12.200000000000001,0.05350016600872133
12.4,0.16045704379430362
12.600000000000001,0.09651694617328048
12.8,0.03481635803550419
13.0,0.12173666994886691
13.200000000000001,0.02963914569971692
13.4,0.0672469705528155
13.600000000000001,0.12120060886946889
13.8,0.098026248407647
14.0,0.035651712475563466
