,Time,Signal
0,0.0,0.4967141530112327
1,0.01,0.5381814575224966
2,0.02,1.9155815552061912
3,0.03,3.2278621229060125
4,0.04,1.7116412242087833
5,0.05,1.7504505420107133
6,0.06,3.430060701466484
7,0.07,2.3712517342338004
8,0.08,0.8510569123844001
9,0.09,1.6232455210965924
10,0.1,0.4876388234826913
11,0.11,0.5067300465726425
12,0.12,1.3936878029205617
13,0.13,-0.4530535827802511
14,0.14,0.11432343538004064
15,0.15,1.6488424977242815
16,0.16,1.4813700905263036
17,0.17,2.9326796694875554
18,0.18,1.6310291384586386
19,0.19,0.8330971905659492
20,0.2,3.229004525798974
21,0.21,0.9251123623026212
22,0.22,0.5550874228924254
23,0.23,-1.5647924016324362
24,0.24,-1.1985433098625924
25,0.25,-0.8890774102901337
26,0.26,-2.3064870970169307
27,0.27,-0.7591057457327279
28,0.28,-1.5855776824530154
29,0.29,-1.0678197834109837
30,0.3,-1.1894918645218704
31,0.31,1.3594906526954234
32,0.32,-0.5564969818612411
33,0.33,-1.8165902940716794
34,0.34,-0.30256208690016206
35,0.35000000000000003,-2.813939688186383
36,0.36,-1.8810441400169247
37,0.37,-4.491550375715315
38,0.38,-4.16856743125699
39,0.39,-2.7598279669027317
40,0.4,-2.1147029688900503
41,0.41000000000000003,-2.36725445116348
42,0.42,-2.1724286860769517
43,0.43,-1.7793396616115555
44,0.44,-2.36586252812309
45,0.45,-1.0863977186047074
46,0.46,-0.44185886843452976
47,0.47000000000000003,1.2894562819781912
48,0.48,0.6167517580145419
49,0.49,-1.587927330926269
50,0.5,0.3240839693947954
51,0.51,-0.560195104852781
52,0.52,-0.9500554687520391
53,0.53,0.3793422330815934
54,0.54,1.0122196199706934
55,0.55,1.297833629326199
56,0.56,0.048123014533026365
57,0.5700000000000001,1.1690235901710535
58,0.58,2.3880438350922684
59,0.59,3.514167859475808
60,0.6,2.3739953110401704
61,0.61,2.771030226108038
62,0.62,1.7340464083525315
63,0.63,1.3356736277548702
64,0.64,2.90243355741588
65,0.65,2.949336066786182
66,0.66,1.0530968774230147
67,0.67,1.7624122630078032
68,0.68,0.9046357821709398
69,0.6900000000000001,-0.1523322227916104
70,0.7000000000000001,0.9491808578008893
71,0.71,2.3141626000836735
72,0.72,0.9491129534242566
73,0.73,2.6994474198924054
74,0.74,-1.4642515844951174
75,0.75,1.8219025043752244
76,0.76,0.7412076535755839
77,0.77,-0.15896313504688964
78,0.78,-0.395798441668994
79,0.79,-3.138457577390046
80,0.8,-1.9830276447149295
81,0.81,-1.8882883203894953
82,0.8200000000000001,-1.0611591692383338
83,0.8300000000000001,-3.1367025551659293
84,0.84,-3.3026948137539174
85,0.85,-2.712887070549794
86,0.86,-0.9238391501910008
87,0.87,-1.131475552217863
88,0.88,-1.6814857351215668
89,0.89,-0.45919236702954314
90,0.9,-0.8539789669471142
91,0.91,-0.11204048697773994
92,0.92,-2.022584392196702
93,0.93,-1.931479151678657
94,0.9400000000000001,-2.2429560390912493
95,0.9500000000000001,-3.4481024470920127
96,0.96,-1.649674321867544
97,0.97,-1.4437769943180991
98,0.98,-1.262779560463042
99,0.99,-0.9110328920688306
100,1.0,-1.415370742050417
101,1.01,0.255800435928319
102,1.02,0.9251785005787292
103,1.03,0.9025549972763669
104,1.04,1.78450888726611
105,1.05,2.388638355774429
106,1.06,3.7370337871696258
107,1.07,1.778394817912732
108,1.08,1.5780816890421177
109,1.09,1.0062395617444602
110,1.1,-0.9677146990038876
111,1.11,0.9459459246936832
112,1.12,1.2119557412955566
113,1.1300000000000001,3.9234687743628367
114,1.1400000000000001,1.6468803031119563
115,1.1500000000000001,2.512677369298873
116,1.16,2.4594894411554806
117,1.17,1.44975429927275
118,1.18,3.681876028494872
119,1.19,2.997333924588019
120,1.2,2.5543877039204688
121,1.21,0.24150120799441965
122,1.22,1.8903535291406008
123,1.23,-1.5418952782112545
124,1.24,-0.06730349153713877
125,1.25,1.1904556258099799
126,1.26,-2.146029844725315
127,1.27,-1.701101493681172
128,1.28,-0.8852876274465717
129,1.29,-1.279601687733905
130,1.3,-2.138448683358604
131,1.31,-0.4242245570074834
132,1.32,-1.6053034708494134
133,1.33,-0.2852869344805971
134,1.34,-2.044531233237153
135,1.35,-0.04316163319781907
136,1.36,-2.87316102735792
137,1.37,-2.853941768041217
138,1.3800000000000001,-2.02686416498889
139,1.3900000000000001,-4.187553519205811
140,1.4000000000000001,-2.6257096142813303
141,1.41,-1.2314799780710295
142,1.42,-3.664263638249945
143,1.43,-1.2936021074899708
144,1.44,-0.6274577435072435
145,1.45,0.41526936156730754
146,1.46,-1.218170808352827
147,1.47,-1.0881225573250028
148,1.48,0.7950750340629793
149,1.49,0.4720974976696567
150,1.5,0.2504928503458742
151,1.51,0.17133538506051343
152,1.52,-0.9531581900245767
153,1.53,-8.035859826968639e-05
154,1.54,0.27429257077342406
155,1.55,-0.34779790781637077
156,1.56,2.75311504890041
157,1.57,1.9520688869340557
158,1.58,0.8654769064860559
159,1.59,3.1951763409872824
160,1.6,1.8784878786581376
161,1.61,3.7437738065143074
162,1.62,3.9989769613659627
163,1.6300000000000001,1.711197933483823
164,1.6400000000000001,3.053283864266002
165,1.6500000000000001,2.0058769651518493
166,1.6600000000000001,1.947167158997836
167,1.67,2.6556723477697295
168,1.68,0.2976116411204397
169,1.69,-0.26094863254397593
170,1.7,-0.30172917733305404
171,1.71,-0.039684251347727906
172,1.72,0.9078372831201066
173,1.73,1.4759557388950335
174,1.74,1.4321843189246466
175,1.75,1.8271832490360256
176,1.76,0.6671624772153212
177,1.77,1.5935782925763062
178,1.78,-0.7522160514424601
179,1.79,1.569280503800468
180,1.8,-1.1376884091124153
181,1.81,-3.10255844831752
182,1.82,-3.6099457120409646
183,1.83,-2.1359599216490968
184,1.84,-2.717663996186583
185,1.85,-1.4971295328731602
186,1.86,-1.366003643319533
187,1.87,-1.5330555745344159
188,1.8800000000000001,-1.9985192494229342
189,1.8900000000000001,-2.4873070248287634
190,1.9000000000000001,-1.3975714683621754
191,1.9100000000000001,-0.2242866831871595
192,1.92,-1.1064375541891398
193,1.93,-2.84955578379288
194,1.94,-1.6776669601079024
195,1.95,-1.5992701192310574
196,1.96,-2.829652035133254
197,1.97,-1.5511071605524633
198,1.98,-1.2096842986595016
199,1.99,-1.8194160565243025
200,2.0,0.3577873603482779
201,2.0100000000000002,1.2372302850619237
202,2.02,2.3509442602807704
203,2.0300000000000002,2.7586343185328923
204,2.04,0.5681252309750275
205,2.05,1.0467624590447668
206,2.06,2.365883153167747
207,2.07,2.117602955993115
208,2.08,1.8355789846253958
209,2.09,4.933416968165355
210,2.1,1.5219470269883177
211,2.11,2.1080254403234964
